Procedure ID,,Description,Amount
8768,,INTERF ALFA2A 3MIL U INJ,642
8769,,INTER ALFA2B 1MIL U INJ ,224
8822,,LEUPRO DEPOT 7.5 MG INJ ,9562
8832,,LEUPRO DEPOT 22.5 MG INJ,22365
8866,,METHOTREXATE 50MG VL    ,60
8876,,OXALIPLATIN 50 MG INJ   ,8461
8892,,ABRAXANE 100 MG INJ     ,5180
8904,,PEGASPARGASE SINGL VIAL ,42412
8906,,PENTOSTATIN 10 MG INJ   ,19305
8910,,MITOMYCIN 5 MG INJ      ,495
8933,,MITOXANTRONE 5 MG INJ   ,528
8969,,PEMETREXED 500 MG INJ   ,20329
8995,,STREPTOZOCIN 1 G INJ    ,1282
8999,,TEMSIROLIMUS 25 MG INJ  ,9918
9008,,THIOTEPA 15 MG INJ      ,1022
9013,,TRASTUZUMAB 10 MG INJ   ,632
9024,,VINBLASTINE 1 MG INJ    ,35
9039,,VINORELBINE TARTRAT 50MG,4608
9076,,ALBUMIN INF 5% 250ML    ,1560
9077,,ALBUMIN INF 5% 500 ML   ,2975
9087,,ALBUMIN INF 25% 50 ML   ,1516
9114,,ALBUMIN INF 25% 100 ML  ,2809
9248,,TENIPOSIDE 50 MG INJ    ,2608
9258,,EPOETIN ALFA 2000 U ESRD,376
9358,,EPOETIN ALFA 4000 U ESRD,752
9444,,EPOETN ALFA 10000 U ESRD,1877
9482,,EPOETN ALFA 40000 U ESRD,7510
9501,,PERFLUTRN LPDMCS 1ML INJ,1293
9503,,GASTROGRAFN PO 367 120ML,1296
9514,,LOCM 300-399 IC 150ML   ,247
9624,,SALMETEROL INH DOSE     ,52
9634,,PAPAVERINE 300MG/10ML VL,109
9635,,CYANIDE ANTIDOTE KIT    ,2027
9653,,DROTRECOGIN ALFA 5MG VL ,7061
9669,,OLANZAPINE 10MG VL      ,623
9677,,ESTRADIOL V 100MG/5ML VL,2463
9690,,PEN G POT 1MMU VL       ,77
9699,,ISONIAZID 100MG/ML VL   ,5570
9720,,AZTREONAM 1 G BAG       ,863
9722,,AZTREONAM 2 G BAG       ,1601
9728,,MYCOPHEN MOFET 500MG VL ,479.93
9730,,PEGINTERALFA2A 180MCG VL,9072
9755,,BUMETANIDE 1 MG INJ     ,107
9757,,FLUMAZENIL.1MG/ML 5ML VL,2332
9785,,ETHACRYNATE 50MG INJ    ,31064
9804,,TIMOLOL 0.25% OPH 2.5ML ,333
9805,,TIMOLOL 0.5% OPH        ,392
9836,,ENALAPRI 1.25 MG/1ML VL ,395
9837,,ENALAPRI 2.5MG/2ML VL   ,772
9844,,FAMOTIDINE 20 MG INJ    ,130
9862,,ANTIVENIN LACT MAC BL WD,746
9914,,PG BEN/PRO 1.2 MIL U    ,295
9921,,PROMETHAZINE 25 MG SUPP ,126
9953,,TETANUS/DIPTH TOX PED   ,146
9954,,ANTIVENIN MICRUR FULVIUS,38099
9961,,PROMETHAZINE 12.5MG SUPP,109
9965,,NICARDIPIN 25MG/10ML AMP,3199
9969,,BACITRACIN 50MU VL      ,305
9979,,GELFOAM 100 COMPRESSED  ,1492
10008,,CLINDAMYCIN 600 MG VL   ,114
10016,,CARBOPROST 250MCG INJ   ,1485
10017,,CLINDAMYCIN 300 MG VL   ,98
10020,,ALPROSTADIL 500 MCG INJ ,665
10035,,AMPICILLIN 250 MG INJ   ,28
10062,,HYALURON 5.5MG/.55ML SYR,2671
10085,,LANOLIN/MO/PETR OP 3.5G ,238
10113,,KETOROLAC 0.5% OPH 5ML  ,2970
10135,,POLYMYXIN B/TMP OP 10ML ,290
10138,,CYCLOSPORINE .05% OP.4ML,75
10186,,ISOPROTERENOL 1MG INJ   ,10170
10194,,ISOPROTERENOL 0.2MG INJ ,1974
10218,,BUMETANIDE 2.5 MG INJ   ,251
10228,,BUPIV/EPI 0.25% 50ML VL ,18
10231,,PHENYLEPHRIN 10% OP 5ML ,554
10237,,HEXACHLOROPHENE 3% 148ML,485
10242,,TETRACAINE 1% AMP       ,280
10246,,TETRACAINE 0.5% OPH     ,109
10267,,DOXAPRAM 400MG/20ML VL  ,2196
10270,,GLYCOPYRROLATE 0.2MG INJ,77
10277,,MESALAMINE 4GM/60ML EN  ,437
10316,,POV IODINE 10% OI 30GM  ,59
10324,,CHLORHEX GLUCO 4% SCRB  ,121
10374,,LEVOFLOXACIN 500MG VL   ,1029
10393,,ECHOT/IODIDE .125% OP5ML,1725
10401,,LEVOTHYROXINE 500MCG INJ,1548
10484,,ROCURONIUM 10MG/ML VL   ,395
10508,,DRONABINOL 2.5 MG PO    ,212
10523,,HALOPERID 2MG/ML LIQ    ,681
10556,,DIGOXIN 0.05MG/ML LIQ UD,40
10574,,IPECAC LIQ              ,56
10579,,LIDOCAINE VISC 2% 20ML  ,51
10582,,PHENOBARB 20MG/5ML 120ML,247
10596,,SOD POLYSTYRENE 15GM SUS,209
10597,,HETASTARCH 6% 500ML NS  ,1900
10609,,PAPAIN/UREA OINT 30GM   ,1284
10617,,FLUORESCEIN 10% AMP     ,595
10629,,BETAXOLOL .25% OPH 5ML  ,2136
10642,,TROPICAMIDE 1% OPH SOL  ,486
10645,,CYCLOPENTOLATE 1% OP 2ML,376
10650,,CYCLOPENTOLATE 2% OP 2ML,485
10669,,SULFACETAMI 10% OPH OINT,206
10697,,MAXITROL 3.5 GM OP      ,360
10698,,TOBRAMYCIN 0.3% OPH SOL ,509
10713,,TOBRAMYCIN 0.3% OPH OINT,2009
10718,,NATAMYCIN 5% 15ML OP    ,3738
10728,,TOBRAMYCIN/DEXAM OPH SOL,1174
10729,,TOBRA/DEX OP 3.5 GM     ,2553
10736,,CIPROFLOXACN .3% OP 5ML ,183
10737,,CIPROFLOXCN .3% OP 2.5ML,834
10738,,APRACLONIDINE 1% OP .2ML,334
10811,,BSS OPH IRR PLAIN 500ML ,810
10834,,SOD/CAL/MAG/POT PLUS OPH,1570
10839,,MOXIFLOXACIN 0.5% 3ML OP,1928
10853,,RIFAMPIN 600 MG INJ     ,2128
10854,,HYDROXYZINE PAM 25 MG PO,56
11027,,BERACTANT 200MG VL      ,1474
11040,,VALPROATE 500MG VL      ,386
11042,,TROMETHAMINE 500ML INJ  ,3343
11043,,DEXMEDETOM 200MCG/2ML   ,1619
11046,,BACT NACL 0.9% VIAL     ,77
11051,,NITROPRUSSIDE 50 MG INJ ,5004
11053,,EPHEDRINE 50MG/1ML AMP  ,77
11058,,LIDOCAIN/EP 1%20ML 1:100,114
