Procedure ID,Description,Amount
2899,DIRECT REFERRAL TO OBS  ,658.00
2900,RM & BD PRIVATE         ,1987.00
2903,RM & BD PRIVATE OB      ,1337.00
2906,RM & BD ISOLATION ADJ   ,1441.00
2907,RM & BD PRIVATE OB ADJ  ,1493.00
3088,AU EVO PO AND/OR CNS COM,424.00
3090,NURSERY R&B LV 1        ,814.00
3093,CIRCUMCISION            ,5342.00
3235,SHRT LATENCY SOMA UP LMB,1226.00
3236,SHRT LATENCY SOMA LW LMB,1226.00
3238,EEG NONINTRACRANIAL SURG,879.00
3241,ELECTRO STI BRAIN INT HR,1244.00
3242,ELECTRO STIM BRAIN AD ON,998.00
3312,CARDIOVERSION EXTERNAL  ,2642.00
3358,SPECIAL PROCEDURE       ,6835.00
3372,INJ BLOOD PATCH         ,8545.00
3374,PACU FIRST 60 MIN       ,7765.00
3375,PACU ADDL 30 MIN        ,470.00
3384,FETAL NONSTRESS TEST    ,864.00
3391,IV HYDRAT INIT UP TO 1HR,773.00
3392,IV HYDRAT EA ADD HR     ,166.00
3393,IV INITIAL UP TO 1 HOUR ,1030.00
3394,IV EACH ADD HOUR        ,344.00
3395,IV ADDL SEQ INF UP TO 1H,166.00
3396,IV CONCURRENT INFUSION  ,339.00
3401,INJECTION IM OR SQ      ,550.00
3407,IVP SINGLE/INITIAL DRUG ,398.00
3408,IVP SINGLE/INITIAL DRUG ,314.00
3411,IVP EA ADD SEQ NEW DRUG ,396.00
3412,IVP EA ADD SEQ NEW DRUG ,294.00
3414,IVP EA ADD SEQ SAME DRUG,372.00
3444,OB EMER DEPT LEVEL 1    ,851.00
3449,OB EMER DEPT LEVEL 2    ,1162.00
3453,OB EMER DEPT LEVEL 3    ,1471.00
3454,OB EMER DEPT LEVEL 4    ,1779.00
3460,OB EMER DEPT LEVEL 5    ,2167.00
3465,C-SECTION FIRST 60 MIN  ,11602.00
3467,C-SECTION ADDL 30 MIN   ,2358.00
3468,SURGERY FIRST 60 MIN    ,2428.00
3471,SURGERY ADDL 30 MIN     ,1212.00
3476,EXTERNAL VERSION        ,5470.00
3485,OB ER PROC LEVEL 1      ,933.00
3492,RECOVERY FIRST 60 MIN   ,3359.00
3493,RECOVERY ADDL 30 MIN    ,2478.00
3494,DELIVERY                ,4036.00
3495,AMNIOCENTESIS           ,1421.00
3497,FETAL STRESS TEST       ,1253.00
3517,VARICELLA-ZOSTER IG IM  ,3955.00
3521,HEPA VAC ADULT IM       ,703.00
3527,FLUVAC IIV3 PF 0.5ML IM ,119.00
3537,RABIES VAC IM           ,2660.00
3548,PPSV23 VAC IMSQ         ,490.00
3588,ABATACEPT 250 MG INJ    ,7047.00
3592,ABCIXIMAB 10 MG INJ     ,10877.00
3595,ACETYLCYSTEIN 6000MG INJ,1796.00
3598,ACYCLOVIR 500 MG INJ    ,994.00
3604,ADALIMUMAB 40 MG INJ    ,10325.00
3629,AMIFOSTINE 500 MG INJ   ,4573.00
3632,METHYLDOPATE 250 MG INJ ,75.00
3642,ALP 1 PRO INHIB HUM 10MG,32.00
3654,AMIKACIN SULFATE 500 MG ,125.00
3656,AMINOPHYLLIN 500 MG INJ ,83.00
3659,AMINOPHYLLIN UP TO 250MG,64.00
3673,AMIODARONE 450 MG INJ   ,3890.00
3679,AMIODARONE 150 MG INJ   ,1238.00
3707,AMPHOTERICN B 50 MG INJ ,291.00
3729,AMPHOT B LIPOSOME 50 MG ,1894.00
3741,AMPICILLIN 2 G INJ      ,136.00
3743,AMPICILLIN 1 G INJ      ,132.00
3755,AMPICIL/SULBAC 3 G INJ  ,193.00
3770,ANIDULAFUNGIN 50 MG INJ ,612.00
3772,HYDRALAZINE UP TO 20 MG ,92.00
3782,AZITHROMYCIN 500 MG INJ ,272.00
3783,ATROPINE 0.4 MG INJ     ,45.00
3784,ATROPINE 1 MG INJ       ,48.00
3787,BACLOFEN 10 MG INJ      ,808.35
3820,BENZTROPINE 2 MG INJ    ,249.00
3852,BIVALIRUDIN 250 MG INJ  ,6183.00
3855,ONABOTULINUMTOXA 100 U  ,7083.00
3865,BUTORPHANOL 2 MG INJ    ,125.00
3869,BUTORPHANOL 1 MG INJ    ,24.00
3877,CALCITONIN SALMN TO 400U,14157.00
3883,CALCITRIOL 1 MCG INJ    ,221.00
3891,CASPOFUNGIN 50 MG INJ   ,3967.00
3892,CASPOFUNGIN 70 MG INJ   ,5554.00
3897,LEUCOVORIN CA 50 MG INJ ,306.00
3921,MEPIVACAIN 1% 30 ML INJ ,32.00
3924,MEPIVACAIN 2% 20 ML INJ ,33.00
3930,CEFAZOLIN 1 G VL        ,45.00
3938,CEFEPIME HCL 1 G VL     ,303.00
3940,CEFEPIME HCL 2 G VL     ,585.00
3942,CEFOXITIN 1 G INJ       ,141.00
3947,CEFOXITIN 2 G INJ       ,89.00
3949,CEFTRIAXONE 250 MG VL   ,68.00
3950,CEFTRIAXONE 1 G VL      ,201.00
3953,CEFTRIAXONE 2 G VL      ,388.00
3958,CEFUROXIME 1.5 G VL     ,199.00
3960,CEFOTAXIME 1 G VL       ,92.00
3965,BETAMETHSN 6 MG INJ     ,79.00
3972,CAFFEINE CITRAT 60MG INJ,400.00
3991,CEFTAZIDIME 1 G BAG     ,280.00
3992,CEFTAZIDIME 2 G BAG     ,515.00
3993,CEFTAZIDIME 1 G VL      ,206.00
3994,CEFTAZIDIME 2 G VL      ,92.00
3996,CLONIDINE HCL 1 MG INJ  ,1105.00
4019,CILASTATN/IMIPINM 250 MG,298.00
4031,CILASTATN/IMIPINM 500 MG,567.00
4040,CIPROFLOXACIN 200 MG    ,218.00
4049,CIPROFLOXACIN 400 MG BAG,516.00
4050,CIPROFLOXACIN 200 MG BAG,106.00
4057,COLISTIMETHATE 150MG INJ,699.00
4067,COSYNTROPIN 0.25 MG INJ ,1214.00
4071,DAPTOMYCIN 500 MG INJ   ,2694.00
4166,EPOTN ALFA 10000 U NESRD,1865.00
4175,EPOTN ALFA 40000 U NESRD,7908.00
4176,EPOTN ALFA 1000 U NESRD ,188.00
4195,DECITABINE 50 MG INJ    ,12803.00
4199,DEFEROX MESY 500 MG INJ ,325.00
4270,DEXAMETH NA PHOS 4 MG   ,45.00
4275,DEXAMETH NA PHOS 10 MG  ,29.00
4277,DIHYDROERGOT 1 MG INJ   ,804.00
4279,ACETAZOLAMIDE TO 500 MG ,578.00
4283,DIG IMMUNE FAB PER VIAL ,18122.00
4289,PHENYTOIN 250 MG VL     ,45.00
4290,PHENYTOIN 100 MG VL     ,45.00
4314,HYDROMORPH 50 MG INJ    ,1014.00
4323,DEXRAZOXANE 500 MG INJ  ,2136.00
4330,CHLOROTHIAZIDE 500MG INJ,2569.00
4331,DMSO 50% 50 ML INJ      ,1191.00
4339,DOBUTAMINE 250 MG VL    ,68.00
4359,DOPAMINE 400 MG BAG     ,475.00
4362,DOPAMINE 400 MG VL      ,324.00
4376,DOPAMINE 200 MG VL      ,162.00
4382,DORIPENEM 500 MG INJ    ,405.00
4391,EPOPROSTENOL 0.5 MG INJ ,511.00
4397,EPTIFIBATIDE 75 MG VL   ,3639.00
4399,EPTIFIBATIDE 20 MG VL   ,981.00
4403,ERGONOV MAL TO 0.2MG INJ,91.00
4407,ERTAPENEM SOD 1 G VL    ,812.00
4410,ERYTHRO LACTO 500 MG INJ,361.00
4412,ESTROGEN CONJ 25 MG INJ ,1565.00
4414,ETHANOLAMINE OLEAT 100MG,2771.00
4430,FLUCONAZOLE 400 MG BAG  ,2931.00
4433,FLUCONAZOLE 200 MG BAG  ,2104.00
4437,FOMEPIZOLE 1500 MG INJ  ,12646.00
4896,IVIG OCTAGAM 5 G        ,5521.00
4944,GANCICLOVIR 500 MG INJ  ,743.00
4976,GLUCAGON 1 MG INJ       ,1213.00
4978,GRANISETRON 1000 MCG INJ,2201.00
4990,HEPARIN 1000 U INJ      ,49.00
4994,HEPARIN 5000 U INJ      ,49.00
4996,HEPARIN 10000 U INJ     ,42.00
5075,ENOXAPARIN 40 MG INJ    ,441.00
5077,ENOXAPARIN 60 MG INJ    ,643.00
5078,ENOXAPARIN 80 MG INJ    ,851.00
5079,ENOXAPARIN 100 MG INJ   ,1059.00
5108,ENOXAPARIN 30 MG INJ    ,327.00
5146,ENOXAPARIN 120 MG INJ   ,1270.00
5147,ENOXAPARIN 150 MG INJ   ,1584.00
5190,FONDAPARINUX 2.5 MG INJ ,635.00
5256,FONDAPARINUX 7.5 MG INJ ,1904.00
5279,TETANUS IG HUMAN 250 U  ,2526.00
5321,HYDROCORT SUCC 100MG INJ,62.00
5323,HYDROCORT SUCC 250MG INJ,104.00
5324,HYDROCORT SUCC 500MG INJ,204.00
5327,DIAZOXIDE UP TO 300 MG  ,1764.00
5349,IBUTILIDE FUM 1 MG INJ  ,4360.00
5357,INFLIXIMAB 100 MG INJ   ,6934.00
5446,IRON DEXTRAN 100 MG INJ ,456.00
5465,IRON SUCROSE 100 MG INJ ,851.00
5544,KANAMYCIN 1 G INJ       ,102.00
5574,KETOROLAC 30 MG INJ     ,113.00
5609,KETOROLAC 60 MG INJ     ,225.00
5611,FUROSEMIDE 40 MG INJ    ,45.00
5612,FUROSEMIDE 100 MG INJ   ,46.00
5623,LEPIRUDIN 50 MG         ,2562.00
5626,LEUPRO DEPOT 3.75 MG INJ,8310.00
5627,LEUPRO DEPOT 11.25MG INJ,24315.00
5630,LEVETIRACETAM 500 MG INJ,483.00
5634,LEVOCARNITINE 1 G INJ   ,332.00
5647,LEVOFLOXACIN 750 MG BAG ,1022.00
5650,LEVOFLOXACIN 500 MG BAG ,770.00
5796,LINEZOLID 600 MG INJ    ,1315.00
5949,LORAZEPAM 2 MG INJ      ,85.00
6179,MEROPENEM 1 G INJ       ,681.00
6183,MEROPENEM 500 MG INJ    ,67.00
6246,MICAFUNGIN 100 MG INJ   ,2348.00
6352,MIDAZOLAM 2 MG INJ      ,50.00
6357,MIDAZOLAM 5 MG INJ      ,91.00
6381,MILRINONE LAC 20 MG BAG ,1256.00
6382,MILRINONE LAC 20 MG INJ ,1256.00
6533,NALOXONE 2 MG INJ       ,185.00
6570,NESIRITIDE 1.5 MG INJ   ,7539.00
6759,OCTREOTID ND SQIV 100MCG,271.00
6762,OCTREOTID ND SQIV 500MCG,1349.00
6785,OPRELVEKIN 5 MG         ,4147.00
6844,ONDANSETRON 4 MG VL     ,367.00
6858,PAMIDRONATE 30 MG INJ   ,3794.00
6872,PARICALCITOL 5 MCG INJ  ,60.00
6897,PARICALCITOL 2 MCG INJ  ,137.00
6908,PENTOBARBITAL 50 MG INJ ,476.00
6953,PIP SOD/TAZ 2.25 G VL   ,42.00
6954,PIP SOD/TAZ 3.375 G VL  ,56.00
6955,PIP SOD/TAZ 4.5 G VL    ,72.00
7074,DESMOPRESSIN 4 MCG INJ  ,471.00
7147,OXACILLIN 1 G VIAL      ,121.00
7148,OXACILLIN 2 G VIAL      ,242.00
7199,PROTAMINE 50 MG INJ     ,105.00
7201,PROTAMINE 250 MG INJ    ,286.00
7206,PRALIDOXIME UP TO 1 G   ,1479.00
7207,PHENTO MESY UP TO 5 MG  ,435.00
7212,METOCLOPRAMIDE TO 10 MG ,45.00
7220,QUINUPRN/DALFOPRN 500 MG,1847.00
7270,REGADENOSON 0.4 MG INJ  ,2539.00
7273,RHIG HUMN MINIDOSE 50MCG,393.00
7275,RHIG HMN FULLDOSE 300MCG,1500.00
7290,RHO IMM GLOB IV 5000 IU ,13658.00
7291,RHO IMM GLOB IV 100 IU  ,632.00
7420,RISPERD CONSTA 25 MG INJ,2870.00
7422,RISPER CONSTA 37.5MG INJ,4304.00
7427,RISPERD CONSTA 50 MG INJ,5739.00
7438,RISPER CONSTA 12.5MG INJ,1440.00
7444,ROPIVACAINE 200 MG INJ  ,934.00
7445,ROPIVACAINE 100 MG INJ  ,288.00
7449,SINCALIDE 5 MCG INJ     ,887.00
7450,SARGRAMOSTIM 250 MCG INJ,937.00
7460,NA FERRIC GLUCON 62.5 MG,539.00
7478,METHYLPRED SUCC 500 MG  ,162.00
7479,METHYLPRED SUCC 1 G INJ ,288.00
7564,ALTEPLASE RECOMB 2 MG   ,862.00
7566,ALTEPLASE RECOMB 50 MG  ,9964.00
7569,ALTEPLASE RECOMB 100 MG ,19908.00
7586,FENTANYL CIT 0.25 MG INJ,110.00
7587,FENTANYL CIT 1 MG INJ   ,114.00
7591,FENTANYL CIT 0.1 MG INJ ,50.00
7608,SUMATRIPTAN SUCC 6MG INJ,974.00
7611,TENECTEPLASE 50 MG INJ  ,14946.00
7619,THYROTROPIN ALPHA 0.9 MG,12470.00
7627,TIGECYCLINE 50 MG INJ   ,840.00
7647,TIROFIBAN 12.5 MG INJ   ,2829.00
7674,TOBRAMYCIN 1.2 G VIAL   ,3650.00
7691,TRIAMCINOLN ACE 40MG INJ,309.00
7718,DIAZEPAM 10 MG INJ      ,107.00
7728,UROKINASE 250000 U INJ  ,7305.00
7746,VANCOMYCIN 500 MG VL    ,75.00
7749,VANCOMYCIN 1 G VL       ,29.00
7773,THIAMINE 100 MG INJ     ,46.00
7781,PYRIDOXINE 100 MG INJ   ,90.00
7790,VORICONAZOLE 200 MG INJ ,1096.00
7792,HYALURONIDASE UP TO 150U,288.00
7802,MAG SULFATE 2G INJ      ,204.00
7804,MAG SULFATE 1G INJ      ,56.00
7808,POTASS CL 20 MEQ VL     ,45.00
7814,POTASS CL 40 MEQ VL     ,45.00
7851,ZIPRASIDONE 20 MG VL    ,216.00
7887,FACTOR VIIA 1 MG INJ    ,12291.00
7888,FACTOR VIIA 2 MG INJ    ,24583.00
7892,FACTOR VIIA 5 MG INJ    ,61456.00
7946,FAC VIII RECOMB 1U NOS  ,6.00
7956,FAC IX RECOMB NOS PER IU,5.00
7958,ANTITHROMBIN III PER IU ,23.00
7964,AZATHIOPRINE 50 MG PO   ,41.00
7965,AZATHIOPRINE 100 MG INJ ,1038.00
7966,CYCLOSPORINE 100 MG PO  ,91.00
7969,CYCLOSPORINE 100 MG PO  ,163.00
7970,CYCLOSP MOD 100 MG PO   ,129.00
7972,CYCLOSP MOD 100 MG PO   ,126.00
7977,LYM IG EQUINE 250 MG    ,5170.00
8031,TACROLIMUS IMM 1 MG PO  ,91.00
8055,CYCLOSP MOD 25 MG PO    ,39.00
8056,CYCLOSPORIN 250 MG INJ  ,187.00
8070,MYCOPHENOLATE 250 MG PO ,70.00
8072,MYCOPHENOLATE 500 MG PO ,133.00
8082,SIROLIMUS 1 MG PO       ,31.00
8087,SIROLIMUS 1 MG PO       ,163.00
8090,TACROLIMUS 5 MG INJ     ,480.75
8092,INH METHACHOLINE 1 MG   ,13.00
8131,BUSULFAN 2 MG PO        ,60.00
8154,CAPECITABINE 500 MG PO  ,265.00
8155,CYCLOPHOSPHAMIDE 25MG PO,76.00
8156,CYCLOPHOSPHAMIDE 50MG PO,105.00
8157,DEXAMETHASONE 4 MG PO   ,23.00
8158,DEXAMETHASONE 0.5 MG PO ,16.00
8168,MELPHALAN 2 MG PO       ,113.00
8169,METHOTREXATE 2.5 MG PO  ,116.00
8179,DOXORUBICIN 10 MG INJ   ,107.00
8194,DOXORUBICIN 50 MG INJ   ,181.00
8227,ALDESLEUKIN SINGLE VIAL ,17927.00
8244,AZACITIDINE 100 MG INJ  ,3333.00
8253,BEVACIZUMAB 100 MG INJ  ,5746.00
8265,BLEOMYCIN SULF 15 U INJ ,2404.00
8270,VELCADE 3.5 MG INJ      ,8706.00
8278,CARBOPLATIN 50 MG INJ   ,186.00
8301,CARMUSTINE 100 MG INJ   ,1406.00
8310,CETUXIMAB 100 MG INJ    ,5630.00
8322,CISPLATIN 10MG INJ      ,46.00
8417,CLADRIBINE 10 MG INJ    ,4977.00
8534,CYTARABINE 100 MG INJ   ,60.00
8551,DACTINOMYCIN 0.5 MG INJ ,3558.00
8555,DAUNORUBICIN 20 MG INJ  ,659.00
8561,DOCETAXEL 20 MG INJ     ,3009.00
8598,ETOPOSIDE 10 MG INJ     ,19.00
8625,FLUDARABINE PHOS 50MGINJ,3138.00
8626,FLUOROURACIL 500 MG INJ ,45.00
8627,FLOXURIDINE 500 MG INJ  ,1281.00
8631,GEMCITBIN NOS 200 MG INJ,1211.00
8705,IFOSFAMIDE 1 G INJ      ,1402.00
8709,MESNA 200 MG INJ        ,137.00
8750,MESNA 200 MG INJ        ,65.00
8754,IDARUBICIN HCL 5 MG INJ ,3097.00
8768,INTERF ALFA2A 3MIL U INJ,642.00
8769,INTER ALFA2B 1MIL U INJ ,224.00
8822,LEUPRO DEPOT 7.5 MG INJ ,9562.00
8832,LEUPRO DEPOT 22.5 MG INJ,22365.00
8866,METHOTREXATE 50MG VL    ,60.00
8876,OXALIPLATIN 50 MG INJ   ,8461.00
8892,ABRAXANE 100 MG INJ     ,5180.00
8904,PEGASPARGASE SINGL VIAL ,42412.00
8906,PENTOSTATIN 10 MG INJ   ,19305.00
8910,MITOMYCIN 5 MG INJ      ,495.00
8933,MITOXANTRONE 5 MG INJ   ,528.00
8969,PEMETREXED 500 MG INJ   ,20329.00
8995,STREPTOZOCIN 1 G INJ    ,1282.00
8999,TEMSIROLIMUS 25 MG INJ  ,9918.00
9008,THIOTEPA 15 MG INJ      ,1022.00
9013,TRASTUZUMAB 10 MG INJ   ,632.00
9024,VINBLASTINE 1 MG INJ    ,35.00
9039,VINORELBINE TARTRAT 50MG,4608.00
9076,ALBUMIN INF 5% 250ML    ,1560.00
9077,ALBUMIN INF 5% 500 ML   ,2975.00
9087,ALBUMIN INF 25% 50 ML   ,1516.00
9114,ALBUMIN INF 25% 100 ML  ,2809.00
9248,TENIPOSIDE 50 MG INJ    ,2608.00
9258,EPOETIN ALFA 2000 U ESRD,376.00
9358,EPOETIN ALFA 4000 U ESRD,752.00
9444,EPOETN ALFA 10000 U ESRD,1877.00
9482,EPOETN ALFA 40000 U ESRD,7510.00
9501,PERFLUTRN LPDMCS 1ML INJ,1293.00
9503,GASTROGRAFN PO 367 120ML,1296.00
9514,LOCM 300-399 IC 150ML   ,247.00
9624,SALMETEROL INH DOSE     ,52.00
9634,PAPAVERINE 300MG/10ML VL,109.00
9635,CYANIDE ANTIDOTE KIT    ,2027.00
9653,DROTRECOGIN ALFA 5MG VL ,7061.00
9669,OLANZAPINE 10MG VL      ,623.00
9677,ESTRADIOL V 100MG/5ML VL,2463.00
9690,PEN G POT 1MMU VL       ,77.00
9699,ISONIAZID 100MG/ML VL   ,5570.00
9720,AZTREONAM 1 G BAG       ,863.00
9722,AZTREONAM 2 G BAG       ,1601.00
9728,MYCOPHEN MOFET 500MG VL ,479.93
9730,PEGINTERALFA2A 180MCG VL,9072.00
9755,BUMETANIDE 1 MG INJ     ,107.00
9757,FLUMAZENIL.1MG/ML 5ML VL,2332.00
9785,ETHACRYNATE 50MG INJ    ,31064.00
9804,TIMOLOL 0.25% OPH 2.5ML ,333.00
9805,TIMOLOL 0.5% OPH        ,392.00
9836,ENALAPRI 1.25 MG/1ML VL ,395.00
9837,ENALAPRI 2.5MG/2ML VL   ,772.00
9844,FAMOTIDINE 20 MG INJ    ,130.00
9862,ANTIVENIN LACT MAC BL WD,746.00
9914,PG BEN/PRO 1.2 MIL U    ,295.00
9921,PROMETHAZINE 25 MG SUPP ,126.00
9953,TETANUS/DIPTH TOX PED   ,146.00
9954,ANTIVENIN MICRUR FULVIUS,38099.00
9961,PROMETHAZINE 12.5MG SUPP,109.00
9965,NICARDIPIN 25MG/10ML AMP,3199.00
9969,BACITRACIN 50MU VL      ,305.00
9979,GELFOAM 100 COMPRESSED  ,1492.00
10008,CLINDAMYCIN 600 MG VL   ,114.00
10016,CARBOPROST 250MCG INJ   ,1485.00
10017,CLINDAMYCIN 300 MG VL   ,98.00
10020,ALPROSTADIL 500 MCG INJ ,665.00
10035,AMPICILLIN 250 MG INJ   ,28.00
10062,HYALURON 5.5MG/.55ML SYR,2671.00
10085,LANOLIN/MO/PETR OP 3.5G ,238.00
10113,KETOROLAC 0.5% OPH 5ML  ,2970.00
10135,POLYMYXIN B/TMP OP 10ML ,290.00
10138,CYCLOSPORINE .05% OP.4ML,75.00
10186,ISOPROTERENOL 1MG INJ   ,10170.00
10194,ISOPROTERENOL 0.2MG INJ ,1974.00
10218,BUMETANIDE 2.5 MG INJ   ,251.00
10228,BUPIV/EPI 0.25% 50ML VL ,18.00
10231,PHENYLEPHRIN 10% OP 5ML ,554.00
10237,HEXACHLOROPHENE 3% 148ML,485.00
10242,TETRACAINE 1% AMP       ,280.00
10246,TETRACAINE 0.5% OPH     ,109.00
10267,DOXAPRAM 400MG/20ML VL  ,2196.00
10270,GLYCOPYRROLATE 0.2MG INJ,77.00
10277,MESALAMINE 4GM/60ML EN  ,437.00
10316,POV IODINE 10% OI 30GM  ,59.00
10324,CHLORHEX GLUCO 4% SCRB  ,121.00
10374,LEVOFLOXACIN 500MG VL   ,1029.00
10393,ECHOT/IODIDE .125% OP5ML,1725.00
10401,LEVOTHYROXINE 500MCG INJ,1548.00
10484,ROCURONIUM 10MG/ML VL   ,395.00
10508,DRONABINOL 2.5 MG PO    ,212.00
10523,HALOPERID 2MG/ML LIQ    ,681.00
10556,DIGOXIN 0.05MG/ML LIQ UD,40.00
10574,IPECAC LIQ              ,56.00
10579,LIDOCAINE VISC 2% 20ML  ,51.00
10582,PHENOBARB 20MG/5ML 120ML,247.00
10596,SOD POLYSTYRENE 15GM SUS,209.00
10597,HETASTARCH 6% 500ML NS  ,1900.00
10609,PAPAIN/UREA OINT 30GM   ,1284.00
10617,FLUORESCEIN 10% AMP     ,595.00
10629,BETAXOLOL .25% OPH 5ML  ,2136.00
10642,TROPICAMIDE 1% OPH SOL  ,486.00
10645,CYCLOPENTOLATE 1% OP 2ML,376.00
10650,CYCLOPENTOLATE 2% OP 2ML,485.00
10669,SULFACETAMI 10% OPH OINT,206.00
10697,MAXITROL 3.5 GM OP      ,360.00
10698,TOBRAMYCIN 0.3% OPH SOL ,509.00
